url,classification,status,final_url,title,language,canonical,in_sitemap,sitemap
https://5sigmas.com/en/series/fundamentos-ia-iag/04-agi/,INDEX,200,https://5sigmas.com/en/series/fundamentos-ia-iag/04-agi/,AGI — AI and Generative AI Foundations | 5sigmas,en,https://5sigmas.com/en/series/fundamentos-ia-iag/04-agi/,True,en/sitemap.xml
https://5sigmas.com/en/series/ia-pib-bienestar-energia/00_presentacion_serie/,INDEX,200,https://5sigmas.com/en/series/ia-pib-bienestar-energia/00_presentacion_serie/,Introduction | 5sigmas,en,https://5sigmas.com/en/series/ia-pib-bienestar-energia/00_presentacion_serie/,True,en/sitemap.xml
https://5sigmas.com/en/series/ia-pib-bienestar-energia/01-electricidad-bienestar/,INDEX,200,https://5sigmas.com/en/series/ia-pib-bienestar-energia/01-electricidad-bienestar/,"Electricity and well-being — AI, GDP, Well-being and Energy | 5sigmas",en,https://5sigmas.com/en/series/ia-pib-bienestar-energia/01-electricidad-bienestar/,True,en/sitemap.xml
https://5sigmas.com/en/series/ia-pib-bienestar-energia/02-ia-tecnologia-electrica/,INDEX,200,https://5sigmas.com/en/series/ia-pib-bienestar-energia/02-ia-tecnologia-electrica/,"AI as an electrical technology — AI, GDP, Well-being and Energy | 5sigmas",en,https://5sigmas.com/en/series/ia-pib-bienestar-energia/02-ia-tecnologia-electrica/,True,en/sitemap.xml
https://5sigmas.com/en/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,INDEX,200,https://5sigmas.com/en/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,"GDP vs well-being — AI, GDP, Well-being and Energy | 5sigmas",en,https://5sigmas.com/en/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,True,en/sitemap.xml
https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,INDEX,200,https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,"AI and GDP today — AI, GDP, Well-being and Energy | 5sigmas",en,https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,True,en/sitemap.xml
https://5sigmas.com/en/series/modelos-razonadores/00_presentacion_serie/,INDEX,200,https://5sigmas.com/en/series/modelos-razonadores/00_presentacion_serie/,Introduction | 5sigmas,en,https://5sigmas.com/en/series/modelos-razonadores/00_presentacion_serie/,True,en/sitemap.xml
https://5sigmas.com/en/series/modelos-razonadores/01-que-es-razonar/,INDEX,200,https://5sigmas.com/en/series/modelos-razonadores/01-que-es-razonar/,What is reasoning? — Reasoning Models | 5sigmas,en,https://5sigmas.com/en/series/modelos-razonadores/01-que-es-razonar/,True,en/sitemap.xml
https://5sigmas.com/en/series/modelos-razonadores/02-fallos/,INDEX,200,https://5sigmas.com/en/series/modelos-razonadores/02-fallos/,Reasoning-model failures — Reasoning Models | 5sigmas,en,https://5sigmas.com/en/series/modelos-razonadores/02-fallos/,True,en/sitemap.xml
https://5sigmas.com/en/series/modelos-razonadores/03-test-time-compute/,INDEX,200,https://5sigmas.com/en/series/modelos-razonadores/03-test-time-compute/,Test-Time Compute — Reasoning Models | 5sigmas,en,https://5sigmas.com/en/series/modelos-razonadores/03-test-time-compute/,True,en/sitemap.xml
https://5sigmas.com/en/series/modelos-razonadores/04-latencia-streaming/,INDEX,200,https://5sigmas.com/en/series/modelos-razonadores/04-latencia-streaming/,"Time, latency, streaming and human interaction — Reasoning Models | 5sigmas",en,https://5sigmas.com/en/series/modelos-razonadores/04-latencia-streaming/,True,en/sitemap.xml
https://5sigmas.com/en/series/modelos-razonadores/05-riesgos/,INDEX,200,https://5sigmas.com/en/series/modelos-razonadores/05-riesgos/,Risks — Reasoning Models | 5sigmas,en,https://5sigmas.com/en/series/modelos-razonadores/05-riesgos/,True,en/sitemap.xml
https://5sigmas.com/en/series/multimodalidad-iag/00_presentacion_serie/,INDEX,200,https://5sigmas.com/en/series/multimodalidad-iag/00_presentacion_serie/,Introduction | 5sigmas,en,https://5sigmas.com/en/series/multimodalidad-iag/00_presentacion_serie/,True,en/sitemap.xml
https://5sigmas.com/en/series/multimodalidad-iag/01-el-problema/,INDEX,200,https://5sigmas.com/en/series/multimodalidad-iag/01-el-problema/,The real multimodality problem — Multimodality in Generative AI | 5sigmas,en,https://5sigmas.com/en/series/multimodalidad-iag/01-el-problema/,True,en/sitemap.xml
https://5sigmas.com/en/series/multimodalidad-iag/02-alineamiento/,INDEX,200,https://5sigmas.com/en/series/multimodalidad-iag/02-alineamiento/,Alignment — Multimodality in Generative AI | 5sigmas,en,https://5sigmas.com/en/series/multimodalidad-iag/02-alineamiento/,True,en/sitemap.xml
https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/,INDEX,200,https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/,Architectures — Multimodality in Generative AI | 5sigmas,en,https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/,True,en/sitemap.xml
https://5sigmas.com/en/series/multimodalidad-iag/04-evaluacion/,INDEX,200,https://5sigmas.com/en/series/multimodalidad-iag/04-evaluacion/,Evaluation — Multimodality in Generative AI | 5sigmas,en,https://5sigmas.com/en/series/multimodalidad-iag/04-evaluacion/,True,en/sitemap.xml
https://5sigmas.com/en/series/multimodalidad-iag/05-riesgos/,INDEX,200,https://5sigmas.com/en/series/multimodalidad-iag/05-riesgos/,Risks — Multimodality in Generative AI | 5sigmas,en,https://5sigmas.com/en/series/multimodalidad-iag/05-riesgos/,True,en/sitemap.xml
https://5sigmas.com/en/series/seguridad-ia/00_presentacion_serie/,INDEX,200,https://5sigmas.com/en/series/seguridad-ia/00_presentacion_serie/,Introduction | 5sigmas,en,https://5sigmas.com/en/series/seguridad-ia/00_presentacion_serie/,True,en/sitemap.xml
https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/,INDEX,200,https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/,Prompt injection — AI Security | 5sigmas,en,https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/,True,en/sitemap.xml
https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/,INDEX,200,https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/,Jailbreaks — AI Security | 5sigmas,en,https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/,True,en/sitemap.xml
https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/,INDEX,200,https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/,Poisoning — AI Security | 5sigmas,en,https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/,True,en/sitemap.xml
https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/,INDEX,200,https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/,Red teaming — AI Security | 5sigmas,en,https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/,True,en/sitemap.xml
https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/,INDEX,200,https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/,Production controls — AI Security | 5sigmas,en,https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/,True,en/sitemap.xml
https://5sigmas.com/en/temas/,INDEX,200,https://5sigmas.com/en/temas/,Artificial intelligence concepts explained with technical rigor | 5sigmas,en,https://5sigmas.com/en/temas/,True,en/sitemap.xml
https://5sigmas.com/en/temas/agentes-ia/,INDEX,200,https://5sigmas.com/en/temas/agentes-ia/,What is an AI agent: how it works and how it differs from a chatbot | 5sigmas,en,https://5sigmas.com/en/temas/agentes-ia/,True,en/sitemap.xml
https://5sigmas.com/en/temas/evaluacion-modelos/,INDEX,200,https://5sigmas.com/en/temas/evaluacion-modelos/,"How to evaluate AI models: benchmarks, quality and production | 5sigmas",en,https://5sigmas.com/en/temas/evaluacion-modelos/,True,en/sitemap.xml
https://5sigmas.com/en/temas/llms/,INDEX,200,https://5sigmas.com/en/temas/llms/,What is an LLM: how a large language model works | 5sigmas,en,https://5sigmas.com/en/temas/llms/,True,en/sitemap.xml
https://5sigmas.com/en/temas/prompt-injection/,INDEX,200,https://5sigmas.com/en/temas/prompt-injection/,Prompt injection: what it is and how to reduce the risk | 5sigmas,en,https://5sigmas.com/en/temas/prompt-injection/,True,en/sitemap.xml
https://5sigmas.com/en/temas/razonamiento/,INDEX,200,https://5sigmas.com/en/temas/razonamiento/,Reasoning in LLMs: chain of thought and test-time compute | 5sigmas,en,https://5sigmas.com/en/temas/razonamiento/,True,en/sitemap.xml
https://5sigmas.com/en/temas/transformer/,INDEX,200,https://5sigmas.com/en/temas/transformer/,How the Transformer works: attention and architecture step by step | 5sigmas,en,https://5sigmas.com/en/temas/transformer/,True,en/sitemap.xml
https://5sigmas.com/en/videos/,INDEX,200,https://5sigmas.com/en/videos/,Artificial intelligence video library | 5sigmas,en,https://5sigmas.com/en/videos/,True,en/sitemap.xml
https://5sigmas.com/en/videos/articulos-tecnicos/reactive-proactive-agent-header-demo/,INDEX,200,https://5sigmas.com/en/videos/articulos-tecnicos/reactive-proactive-agent-header-demo/,Proactive and reactive agents and tool calls — video | 5sigmas,en,https://5sigmas.com/en/videos/articulos-tecnicos/reactive-proactive-agent-header-demo/,True,en/sitemap.xml
https://5sigmas.com/en/videos/series/agentes-ia/00_presentacion_serie/,INDEX,200,https://5sigmas.com/en/videos/series/agentes-ia/00_presentacion_serie/,AI Agents — video | 5sigmas,en,https://5sigmas.com/en/videos/series/agentes-ia/00_presentacion_serie/,True,en/sitemap.xml
