url,classification,canonical_declared,canonical_count,self_referencing,canonical_status,canonical_classification
https://5sigmas.com/en/videos/series/modelos-razonadores/05-riesgos/,INDEX,https://5sigmas.com/en/videos/series/modelos-razonadores/05-riesgos/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/multimodalidad-iag/00_presentacion_serie/,INDEX,https://5sigmas.com/en/videos/series/multimodalidad-iag/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/multimodalidad-iag/01-el-problema/,INDEX,https://5sigmas.com/en/videos/series/multimodalidad-iag/01-el-problema/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/multimodalidad-iag/02-alineamiento/,INDEX,https://5sigmas.com/en/videos/series/multimodalidad-iag/02-alineamiento/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/multimodalidad-iag/03-arquitecturas/,INDEX,https://5sigmas.com/en/videos/series/multimodalidad-iag/03-arquitecturas/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/multimodalidad-iag/04-evaluacion/,INDEX,https://5sigmas.com/en/videos/series/multimodalidad-iag/04-evaluacion/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/multimodalidad-iag/05-riesgos/,INDEX,https://5sigmas.com/en/videos/series/multimodalidad-iag/05-riesgos/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/seguridad-ia/00_presentacion_serie/,INDEX,https://5sigmas.com/en/videos/series/seguridad-ia/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/seguridad-ia/01-prompt-injection/,INDEX,https://5sigmas.com/en/videos/series/seguridad-ia/01-prompt-injection/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/seguridad-ia/02-jailbreaks/,INDEX,https://5sigmas.com/en/videos/series/seguridad-ia/02-jailbreaks/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/seguridad-ia/03-envenenamiento/,INDEX,https://5sigmas.com/en/videos/series/seguridad-ia/03-envenenamiento/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/seguridad-ia/04-red-teaming/,INDEX,https://5sigmas.com/en/videos/series/seguridad-ia/04-red-teaming/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/seguridad-ia/05-controles-produccion/,INDEX,https://5sigmas.com/en/videos/series/seguridad-ia/05-controles-produccion/,1,True,200,INDEX
https://5sigmas.com/en/visuales/,INDEX,https://5sigmas.com/en/visuales/,1,True,200,INDEX
https://5sigmas.com/meta/about/,INDEX,https://5sigmas.com/meta/about/,1,True,200,INDEX
https://5sigmas.com/proximamente/,NOINDEX,https://5sigmas.com/proximamente/,1,True,200,NOINDEX
https://5sigmas.com/series/,INDEX,https://5sigmas.com/series/,1,True,200,INDEX
https://5sigmas.com/series/agentes-ia/00_presentacion_serie/,INDEX,https://5sigmas.com/series/agentes-ia/00_presentacion_serie/,1,True,200,INDEX
