url,language,expected_language,hreflang,hreflang_count
https://5sigmas.com/videos/series/modelos-razonadores/02-fallos/,es,es,[],0
https://5sigmas.com/videos/series/modelos-razonadores/03-test-time-compute/,es,es,[],0
https://5sigmas.com/videos/series/modelos-razonadores/04-latencia-streaming/,es,es,[],0
https://5sigmas.com/videos/series/modelos-razonadores/05-riesgos/,es,es,[],0
https://5sigmas.com/videos/series/multimodalidad-iag/00_presentacion_serie/,es,es,[],0
https://5sigmas.com/videos/series/multimodalidad-iag/01-el-problema/,es,es,[],0
https://5sigmas.com/videos/series/multimodalidad-iag/02-alineamiento/,es,es,[],0
https://5sigmas.com/videos/series/multimodalidad-iag/03-arquitecturas/,es,es,[],0
https://5sigmas.com/videos/series/multimodalidad-iag/04-evaluacion/,es,es,[],0
https://5sigmas.com/videos/series/multimodalidad-iag/05-riesgos/,es,es,[],0
https://5sigmas.com/videos/series/seguridad-ia/01-prompt-injection/,es,es,[],0
https://5sigmas.com/videos/series/seguridad-ia/02-jailbreaks/,es,es,[],0
https://5sigmas.com/videos/series/seguridad-ia/03-envenenamiento/,es,es,[],0
https://5sigmas.com/videos/series/seguridad-ia/04-red-teaming/,es,es,[],0
https://5sigmas.com/videos/series/seguridad-ia/05-controles-produccion/,es,es,[],0
https://5sigmas.com/visuales/,es,es,[],0
